Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1990,EAST,0,Dominique Wilkins,ATL,16:00,5,10,1,1,2,2,0,0,0,4,1,0,0,1,13,0.5,1,1
1990,EAST,0,Reggie Miller,IND,14:00,2,3,0,1,0,0,0,1,1,3,1,0,0,1,4,0.667,0,
1990,EAST,0,Scottie Pippen,CHI,12:00,2,4,0,1,0,0,0,1,1,0,1,1,1,1,4,0.5,0,
1990,EAST,0,Dennis Rodman,DET,11:00,2,4,0,0,0,0,3,1,4,1,0,1,2,1,4,0.5,,
1990,WEST,1,Hakeem Olajuwon,HOU,7:00,2,14,0,0,4,10,9,7,16,2,1,1,4,1,8,0.143,,0.4
1990,WEST,1,Magic Johnson,LAL,1:00,9,15,4,6,0,0,1,5,6,4,0,1,3,1,22,0.6,0.667,
1990,WEST,1,James Worthy,LAL,19:00,1,11,0,0,0,0,3,1,4,0,1,0,1,1,2,0.091,,
1990,WEST,1,John Stockton,UTA,15:00,1,4,0,1,0,0,0,0,0,6,1,1,3,1,2,0.25,0,
1990,WEST,1,A.C. Green,LAL,12:00,0,3,0,0,0,0,0,3,3,1,0,1,1,1,0,0,,
1990,WEST,0,David Robinson,SAS,1:00,7,12,0,0,1,2,2,8,10,1,2,1,1,1,15,0.583,,0.5
1990,WEST,0,Fat Lever,DEN,22:00,7,13,0,2,2,2,0,3,3,2,2,0,0,0,16,0.538,0,1
1990,WEST,0,Tom Chambers,PHO,21:00,8,12,0,1,5,7,2,1,3,1,1,0,3,0,21,0.667,0,0.714
1990,WEST,0,Rolando Blackman,DAL,21:00,7,9,0,0,1,1,1,1,2,2,2,0,2,1,15,0.778,,1
